,arrival,parking_entry,kiosk,department_entrance,department_exit,parking_exit,departure,visit_time,parking_entry_wait,kiosk_wait,department_entrance_wait,department_exit_wait,parking_exit_wait,departure_wait,parking_entry_wait_wgt,kiosk_wait_wgt,department_entrance_wait_wgt,department_exit_wait_wgt,parking_exit_wait_wgt,departure_wait_wgt,Rating,Date
0,10:30:17,10:38:17,10:47:17,11:03:17,11:43:17,11:46:17,11:48:17,78,8,9,16,40,3,2,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-23
1,3:52:42,4:00:42,4:11:42,4:27:42,4:54:42,5:05:42,5:13:42,81,8,11,16,27,11,8,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-18
2,21:10:11,21:15:11,21:23:11,21:38:11,22:27:11,22:37:11,22:43:11,93,5,8,15,49,10,6,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
3,6:44:39,6:49:39,7:03:39,7:12:39,7:57:39,8:04:39,8:06:39,82,5,14,9,45,7,2,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-24
4,15:37:03,15:42:03,15:57:03,16:17:03,16:44:03,16:55:03,17:01:03,84,5,15,20,27,11,6,0.088,0.265,0.324,0.206,0.088,0.029,5.0,2021-06-19
5,14:21:09,14:25:09,14:33:09,14:45:09,15:35:09,15:49:09,15:57:09,96,4,8,12,50,14,8,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-20
6,4:30:16,4:36:16,4:47:16,5:07:16,5:49:16,6:03:16,6:11:16,101,6,11,20,42,14,8,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-21
7,14:56:18,15:03:18,15:14:18,15:36:18,16:09:18,16:22:18,16:29:18,93,7,11,22,33,13,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-26
8,6:36:53,6:41:53,6:55:53,7:13:53,8:00:53,8:08:53,8:15:53,99,5,14,18,47,8,7,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-18
9,5:32:16,5:39:16,5:46:16,6:18:16,7:13:16,7:26:16,7:34:16,122,7,7,32,55,13,8,0.088,0.265,0.324,0.206,0.088,0.029,8.0,2021-06-22
10,2:56:05,3:02:05,3:17:05,3:43:05,4:29:05,4:42:05,4:48:05,112,6,15,26,46,13,6,0.088,0.265,0.324,0.206,0.088,0.029,7.0,2021-06-20
11,1:14:14,1:23:14,1:30:14,1:39:14,2:12:14,2:27:14,2:31:14,77,9,7,9,33,15,4,0.088,0.265,0.324,0.206,0.088,0.029,4.0,2021-06-18
12,18:00:49,18:05:49,18:16:49,18:43:49,19:13:49,19:24:49,19:28:49,88,5,11,27,30,11,4,0.088,0.265,0.324,0.206,0.088,0.029,6.0,2021-06-25
